Frame, Time (ms), Delta (ms) , Memory (mb)
  392,5989.407,17.140,5496
  393,6003.880,14.473,5496
  394,6017.760,13.880,5496
  395,6035.250,17.489,5496
  396,6043.503, 8.254,5496
  397,6055.356,11.853,5496
  398,6070.854,15.498,5496
  399,6088.738,17.884,5496
  400,6101.477,12.739,5496
  401,6115.404,13.927,5496
  402,6129.977,14.573,5496
  403,6142.775,12.798,5496
  404,6157.148,14.373,5496
  405,6170.822,13.674,5496
  406,6182.970,12.148,5496
  407,6202.668,19.698,5496
  408,6214.125,11.457,5496
  409,6223.779, 9.654,5496
  410,6238.884,15.105,5496
  411,6256.089,17.205,5496
  412,6265.596, 9.507,5496
  413,6279.538,13.942,5496
  414,6297.473,17.935,5496
  415,6310.074,12.601,5496
  416,6322.049,11.975,5496
  417,6334.981,12.932,5496
  418,6349.341,14.360,5496
  419,6366.620,17.279,5496
  420,6376.848,10.228,5496
  421,6391.245,14.397,5496
  422,6404.163,12.918,5496
  423,6421.870,17.707,5496
  424,6435.344,13.474,5496
  425,6450.777,15.433,5496
  426,6466.270,15.492,5496
  427,6477.972,11.703,5496
  428,6491.757,13.785,5496
  429,6503.772,12.015,5496
  430,6520.976,17.204,5496
  431,6541.137,20.161,5496
  432,6553.693,12.556,5496
  433,6563.413, 9.720,5496
  434,6572.690, 9.277,5496
  435,6586.953,14.263,5496
  436,6603.568,16.615,5496
  437,6616.509,12.941,5496
  438,6627.305,10.796,5496
  439,6645.541,18.235,5496
  440,6658.795,13.255,5496
  441,6674.656,15.861,5496
  442,6686.781,12.125,5496
  443,6700.361,13.580,5496
  444,6711.945,11.584,5496
  445,6730.307,18.362,5496
  446,6741.990,11.683,5496
  447,6753.327,11.337,5496
  448,6766.765,13.438,5496
  449,6782.619,15.854,5496
  450,6797.841,15.222,5496
  451,6810.132,12.291,5496
  452,6822.155,12.023,5496
  453,6838.527,16.372,5496
  454,6853.899,15.372,5496
  455,6864.270,10.370,5496
  456,6877.781,13.512,5496
  457,6895.973,18.192,5496
  458,6905.558, 9.585,5496
  459,6922.765,17.207,5496
  460,6934.068,11.303,5496
  461,6953.139,19.071,5496
  462,6964.849,11.710,5496
  463,6977.191,12.342,5496
  464,6988.548,11.357,5496
  465,7005.849,17.301,5496
  466,7016.533,10.684,5496
  467,7031.090,14.557,5496
  468,7045.034,13.944,5496
  469,7059.814,14.780,5496
  470,7074.864,15.050,5496
  471,7088.387,13.523,5496
  472,7107.871,19.484,5496
  473,7119.135,11.264,5496
  474,7128.742, 9.607,5496
  475,7144.078,15.336,5496
  476,7161.023,16.945,5496
  477,7172.902,11.879,5496
  478,7183.352,10.449,5496
  479,7197.314,13.963,5496
  480,7216.946,19.632,5496
  481,7231.218,14.272,5496
  482,7243.583,12.365,5496
  483,7256.393,12.809,5496
  484,7268.409,12.017,5496
  485,7284.385,15.976,5496
  486,7296.939,12.554,5496
  487,7310.230,13.291,5496
  488,7328.561,18.330,5496
  489,7336.528, 7.968,5496
  490,7351.682,15.154,5496
  491,7369.927,18.245,5496
  492,7383.638,13.711,5496
  493,7397.604,13.965,5496
  494,7411.037,13.434,5496
  495,7420.620, 9.583,5496
  496,7437.553,16.933,5496
  497,7448.966,11.413,5496
  498,7466.645,17.678,5496
  499,7480.069,13.425,5496
  500,7490.845,10.776,5496
  501,7507.735,16.890,5496
  502,7521.937,14.201,5496
  503,7534.569,12.633,5496
  504,7552.651,18.082,5496
  505,7569.469,16.818,5496
  506,7585.150,15.681,5496
  507,7598.482,13.332,5496
  508,7609.138,10.656,5496
  509,7621.732,12.594,5496
  510,7636.071,14.339,5496
  511,7647.583,11.511,5496
  512,7660.146,12.564,5496
  513,7675.622,15.475,5496
  514,7692.101,16.479,5496
  515,7701.924, 9.824,5496
  516,7716.423,14.499,5496
  517,7734.235,17.812,5496
  518,7744.250,10.014,5496
  519,7760.959,16.710,5496
  520,7773.605,12.646,5496
  521,7791.038,17.432,5496
