os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16309452,5.8.9-zen2-1-zen,4.6.0 NVIDIA 450.66
fps,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.9864,15,10,41,38,1227,3505,0.340759,4.31735,9008778
60.0619,18,9,41,38,1227,3505,0.340759,4.31775,9108856
60.0417,18,9,41,38,1227,3505,0.340759,4.31775,9208922
60.0065,18,9,41,38,1227,3505,0.340759,4.31775,9308991
59.999,18,9,41,38,1227,3505,0.340759,4.31775,9409061
60.0147,18,9,41,38,1227,3505,0.340759,4.31775,9509161
59.7324,13,10,40,38,1227,3505,0.340759,4.31801,9609239
59.9245,13,10,40,38,1227,3505,0.340759,4.31801,9709316
59.9365,13,10,40,38,1227,3505,0.340759,4.31801,9809393
59.9904,13,10,40,38,1227,3505,0.340759,4.31801,9909465
59.9692,13,10,40,38,1227,3505,0.340759,4.31801,10009542
59.9532,14,9,40,38,1227,3505,0.340759,4.31798,10109606
60.006,14,9,40,38,1227,3505,0.340759,4.31798,10209682
59.9801,14,9,40,38,1227,3505,0.340759,4.31798,10309788
59.9832,14,9,40,38,1227,3505,0.340759,4.31798,10409870
60.0104,14,9,40,38,1227,3505,0.340759,4.31798,10509977
60.0583,17,10,40,38,1227,3505,0.340759,4.31822,10610085
60.0659,17,10,40,38,1227,3505,0.340759,4.31822,10710160
60.0606,17,10,40,38,1227,3505,0.340759,4.31822,10810247
60.0287,17,10,40,38,1227,3505,0.340759,4.31822,10910326
60.0226,17,10,40,38,1227,3505,0.340759,4.31822,11010407
59.9143,17,9,40,38,1227,3505,0.335876,4.31798,11110524
59.9009,17,9,40,38,1227,3505,0.335876,4.31798,11210618
60.0526,17,9,40,38,1227,3505,0.335876,4.31798,11310698
60.0004,17,9,40,38,1227,3505,0.335876,4.31798,11410785
59.9958,17,9,40,38,1227,3505,0.335876,4.31798,11510915
60.0402,14,9,40,38,1227,3505,0.335876,4.31704,11611024
60.0962,14,9,40,38,1227,3505,0.335876,4.31704,11711105
60.065,14,9,40,38,1227,3505,0.335876,4.31704,11811187
60.0047,14,9,40,38,1227,3505,0.335876,4.31704,11911299
60.0286,14,9,40,38,1227,3505,0.335876,4.31704,12011407
60.6649,15,9,40,38,1227,3505,0.335876,4.31689,12111488
59.9947,15,9,40,38,1227,3505,0.335876,4.31689,12211595
59.038,15,9,40,38,1227,3505,0.335876,4.31689,12311682
59.9763,15,9,40,38,1227,3505,0.335876,4.31689,12411783
59.981,15,9,40,38,1227,3505,0.335876,4.31689,12511871
60.0285,21,11,40,38,1227,3505,0.335876,4.31684,12611957
59.842,21,11,40,38,1227,3505,0.335876,4.31684,12712068
59.9463,21,11,40,38,1227,3505,0.335876,4.31684,12812163
59.9986,21,11,40,38,1227,3505,0.335876,4.31684,12912261
59.9531,21,11,40,38,1227,3505,0.335876,4.31684,13012367
59.9914,25,8,41,38,1227,3505,0.335876,4.31762,13112466
60.0012,25,8,41,38,1227,3505,0.335876,4.31762,13212548
59.9428,25,8,41,38,1227,3505,0.335876,4.31762,13312637
60.0078,25,8,41,38,1227,3505,0.335876,4.31762,13412715
60.0075,25,8,41,38,1227,3505,0.335876,4.31762,13512831
59.9797,10,8,41,38,1227,3505,0.335876,4.31742,13612946
60.0631,10,8,41,38,1227,3505,0.335876,4.31742,13713054
60.051,10,8,41,38,1227,3505,0.335876,4.31742,13813140
60.0476,10,8,41,38,1227,3505,0.335876,4.31742,13913257
60.0303,10,8,41,38,1227,3505,0.335876,4.31742,14013361
60.0095,10,8,41,38,1227,3505,0.335876,4.31742,14113427
59.8724,8,8,41,38,1227,3505,0.335876,4.31728,14213496
59.9547,8,8,41,38,1227,3505,0.335876,4.31728,14313563
59.9853,8,8,41,38,1227,3505,0.335876,4.31728,14413621
59.9947,8,8,41,38,1227,3505,0.335876,4.31728,14513682
59.9843,8,8,41,38,1227,3505,0.335876,4.31728,14613753
60.1498,11,8,41,38,1227,3505,0.335876,4.31833,14713812
60.0546,11,8,41,38,1227,3505,0.335876,4.31833,14813879
60.0148,11,8,41,38,1227,3505,0.335876,4.31833,14913920
59.9958,11,8,41,38,1227,3505,0.335876,4.31833,15014020
59.9941,11,8,41,38,1227,3505,0.335876,4.31833,15114126
60.0054,17,8,40,38,1227,3505,0.335876,4.31822,15214197
60.0841,17,8,40,38,1227,3505,0.335876,4.31822,15314259
60.0619,17,8,40,38,1227,3505,0.335876,4.31822,15414317
60.021,17,8,40,38,1227,3505,0.335876,4.31822,15514383
60.0405,17,8,40,38,1227,3505,0.335876,4.31822,15614441
60.1475,9,8,40,38,1227,3505,0.335876,4.31845,15714502
60.0958,9,8,40,38,1227,3505,0.335876,4.31845,15814572
60.0032,9,8,40,38,1227,3505,0.335876,4.31845,15914638
60.0129,9,8,40,38,1227,3505,0.335876,4.31845,16014704
